Row Labels,Sum of APR20,Sum of MAY20,Sum of JUN20,Sum of JUL20,Sum of AUG20,Sum of SEP20,Sum of OCT20,Sum of NOV20,Sum of DEC20,Sum of JAN21,Sum of FEB21,Sum of MAR21,Sum of APR21,Sum of MAY21,Sum of JUN21,Sum of JUL21,Sum of AUG21,Sum of SEP21,Sum of OCT21,Sum of NOV21,Sum of DEC21,Sum of JAN22,Sum of FEB22,Sum of MAR22,Sum of APR22,Sum of MAY22,Sum of JUN22,Sum of JUL22
"Aberdeen-Bel Air South-Bel Air North, MD",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jacksonville, FL",358987,431630,462808,485078,480796,488613,531197,493025,500022,462671,433332,503729,527721,509213,490279,491562,496289,482517,515267,487150,489732,452232,456621,516062,513504,535222,525223,495910
"Janesville, WI",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jefferson City, MO",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Johnson City, TN",5098,5751,7723,7731,7883,8044,8852,7753,7527,6944,8042,10159,9459,9581,10970,10679,11335,10705,10551,10015,10118,8502,10297,13475,11771,11755,11670,
"Johnstown, PA",46300,53633,74052,77823,76770,79192,80231,55642,51441,48301,49513,62360,57901,53403,57990,60705,60071,58438,58866,57520,59527,51140,54155,64181,60172,61525,65388,
"Jonesboro, AR",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kahului, HI",46930,51309,60118,63456,63822,63030,69429,71375,79236,78271,74462,91400,100890,107061,115521,117574,81544,102999,106320,106188,107303,108245,106006,122452,118208,121491,118064,
"Kalamazoo, MI",8441,24655,98752,120551,132909,145643,123850,111277,104254,117226,129642,148462,129230,117493,123577,119974,98366,124371,122808,127912,108082,112948,115698,130670,128073,118598,123574,117528
"Kankakee, IL",30993,31069,36371,44975,46028,46119,49392,41524,42000,38629,34954,45295,43859,41975,43648,37714,37183,36545,38122,36597,36248,33572,32077,39323,43275,40011,41807,41767
"Kansas City, MO-KS",652129,645924,782331,799926,902601,892834,934467,848743,836350,743098,676828,894685,841786,863183,911867,984651,1003061,1006372,994755,912794,928924,817551,770010,981240,1007476,1034768,1123794,240202
"Kennewick-Pasco, WA",78155,81730,92551,98288,106020,110523,129372,109101,110883,112066,111372,147871,143744,148038,147162,145628,148537,185607,201123,160211,145680,138333,154184,190141,175230,189246,203144,187290
"Kenosha, WI-IL",20480,21881,28315,31946,22266,84592,124718,99379,20783,77113,106264,137644,97404,116424,56192,30733,25933,131322,120779,119327,103269,108689,111207,140191,101628,135680,58819,30259
"Killeen, TX",20233,20006,21825,22338,22777,24643,26155,24448,33943,10847,20488,19218,26140,24131,22454,22061,22382,25908,26375,25056,34904,11684,23367,22550,28385,27770,29786,27996
"Kingsport, TN-VA",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Knoxville, TN",136736,154636,180475,191817,206077,220611,241104,209660,199093,184926,152969,180236,174625,163505,169501,176366,182193,181743,183372,171023,168767,152765,166914,195872,195896,195140,202525,8457
"Kokomo, IN",13351,14903,19345,19945,20825,21593,22498,18515,18525,16147,16346,21377,19476,18270,19938,19085,20431,19644,19113,19175,19482,17519,18925,23073,20883,22006,23806,20437
"La Crosse, WI-MN",21380,25640,40649,44647,43624,45307,47853,45964,46967,44741,44875,54933,47603,35740,39522,35685,41195,43744,46158,44841,45680,41432,53402,61503,59437,51809,51441,43233
"Lafayette, IN",51560,57061,79697,82442,121967,172003,166311,126895,83366,130980,161228,184901,172973,112768,109391,108215,241174,380810,349433,322778,224850,325423,337208,337224,355940,168737,151226,149819
"Lafayette, LA",40969,53987,66640,61108,50074,54775,55736,69285,69582,64649,61997,74514,71890,64595,64234,61164,57622,58460,61415,2378,2316,2155,2421,2531,2432,2461,,
"Lake Tahoe, CA-NV",7245,9948,15203,19680,21267,20456,21016,19035,20935,20734,20160,23574,22273,22874,25439,26691,23408,11090,19117,19277,23175,28911,21340,25704,20094,21777,28992,26591
"Lakeland, FL",30670,42847,52162,40139,40627,43295,47753,46315,52549,48454,50161,59101,57552,50847,54435,52509,55600,55724,57298,53962,54708,51101,53617,61301,60022,59152,60582,56824
"Lancaster, PA",158906,179024,232570,268944,252846,245976,263620,230726,217558,212203,191390,285829,289313,282774,306224,259257,271141,267314,276269,257753,261280,215599,232664,276620,266695,277125,302140,289488
"Lancaster-Palmdale, CA",49673,62485,87213,83836,77980,73535,86402,80134,76676,69463,74320,85636,89090,80854,79254,77131,92735,93517,106089,103573,95374,94672,95364,111074,115887,115173,73633,
"Lansing, MI",26970,99168,192394,200411,208847,213502,231057,203017,196594,196159,193090,240341,218694,209429,216363,225497,270957,629446,589201,576608,428302,262604,395620,510957,550554,331968,304228,284719
"Laredo, TX",59348,78676,93204,94094,76608,77774,84101,79176,80471,75082,65673,89871,89596,89454,90707,89978,99107,105774,112295,125732,134725,106646,114231,137579,136107,138467,133474,128981
"Las Cruces, NM",6334,5991,7731,7960,7301,7658,7562,7153,6284,6844,6462,7511,7597,7667,7737,7890,8826,8996,9390,9505,8635,9269,8497,10311,9533,10047,10293,10290
"Las Vegas-Henderson, NV",2346420,2640052,2515188,2485413,2549650,2604284,3091053,2825597,2751465,2749711,2645365,3062589,3156333,3213356,3207595,3278492,3452717,3380329,3683752,3524927,3353152,3189752,3180776,3545181,3648905,3880016,3735589,3780788
"Lawrence, KS",23176,25151,31397,31084,51464,84665,80478,63174,31582,33207,80154,92664,85533,48921,40402,40485,128179,259883,216776,207598,116179,147285,205882,185896,197135,94628,54088,52389
"Lawton, OK",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lebanon, PA",9514,11032,14013,17933,18277,18467,18273,15664,15431,15261,13589,18415,18271,17136,18134,18545,18595,18225,18934,18700,19746,16660,17493,20035,18990,19333,21045,20034
"Leesburg-Eustis-Tavares, FL",18763,20939,22736,22534,21406,22244,24193,20736,22276,20120,19968,23497,22418,20458,18944,16764,18450,18958,19372,20633,22253,19828,19779,23029,23058,22499,22443,22130
"Leominster-Fitchburg, MA",28646,31755,37107,39632,40949,48674,53024,43496,42275,39214,36292,49092,47618,48055,51430,56208,54565,65829,66057,59774,61457,53698,56013,73033,70851,71485,69801,69235
"Lewiston, ME",952,1124,1466,1993,1948,2476,2922,3456,12240,19603,18646,14738,6269,3353,3723,3683,3678,4040,4567,6116,19986,17111,22306,18286,8369,5144,5428,5111
"Lexington-Fayette, KY",136502,144213,169666,185165,223374,245519,258518,222085,189721,196326,192866,237296,226091,190916,181744,185879,230150,287185,275579,260780,212276,228020,252788,274940,270316,215621,207398,205755
"Lima, OH",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lincoln, NE",34270,62709,75755,97230,123622,163051,167125,140659,141310,110835,149663,174858,157005,141568,146749,136328,136772,227718,232062,202157,181178,212540,189542,208974,207106,178263,165969,150477
"Little Rock, AR",112881,106347,114234,102843,101332,105181,113330,104346,106651,101067,70973,115662,109173,103728,116517,118939,123033,124517,130200,127877,127153,117333,102251,144337,134383,142069,150748,143782
"Lodi, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Logan, UT",23527,22810,30662,34245,46970,70102,78364,56081,45951,56622,61747,73980,62746,55844,46377,40711,56035,76631,78564,69497,56639,68393,73267,83859,74516,70358,62595,56884
"Lompoc, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Longview, WA-OR",11948,12416,15600,16454,16218,16126,18284,14634,15750,12410,12053,17673,18100,16502,17145,18243,16784,16664,17207,16348,16262,15828,16628,20211,18816,19180,20399,
"Lorain-Elyria, OH",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Los Angeles-Long Beach-Anaheim, CA",13195575,16075520,19379128,21324306,21313791,21729539,23299245,21704658,21294971,18722623,19203328,22458675,23395759,24264281,25489151,27307387,29095851,30258753,31480023,30598329,28701142,26157820,26466701,31278357,30215380,30748691,29819531,28376556
"Louisville/Jefferson County, KY-IN",285552,311973,351636,404637,405907,409532,433185,387290,372501,367677,333486,436605,415559,390805,393931,410920,452543,474577,470139,450136,414392,397050,408384,493810,463626,463805,484602,4059
"Lubbock, TX",27969,31893,38798,39029,61169,101911,90195,70696,35668,67015,83909,106819,92928,41537,46954,47237,120405,234924,215678,165723,67219,136673,180667,193421,211904,84311,56170,58093
"Lynchburg, VA",36723,32830,36317,35752,22785,26643,60964,48897,36243,37853,33954,45775,43448,37392,38365,39332,39836,38201,39865,38123,37202,26775,32859,36348,40946,37009,40144,40274
"Macon, GA",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Madison, WI",112087,115099,157272,178914,181651,246535,266247,229847,216269,231375,272576,318241,304570,285494,292903,311717,360840,795541,829379,786951,668424,,,,,,,
"Manchester, NH",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mansfield, OH",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"McAllen, TX",13180,16383,20462,15405,17174,18154,20647,17409,17420,15402,12907,17755,17074,16952,18672,18619,21631,20635,20742,18302,21953,19336,21413,26813,22889,21781,22043,20456
"McKinney, TX",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Medford, OR",38488,35827,48331,56170,56538,43580,56161,46715,48002,44282,45020,53418,53795,51125,51271,51374,52859,54321,58940,56908,53265,53685,54151,62309,60180,62112,64532,61206
"Memphis, TN-MS-AR",208514,196783,201650,230104,238920,246558,263721,229516,240332,212831,149630,294445,278206,270182,281662,269824,257564,236260,214038,176384,186863,211443,207881,295812,297840,276060,277524,
"Merced, CA",26914,32860,36930,37866,30170,26308,29042,32796,30963,21522,24018,33963,34059,30037,31406,33007,39755,41248,39666,35710,31690,32776,32491,40319,37522,38954,37781,44918
"Miami, FL",3204075,3596587,4888524,5151299,5120849,5230825,5834480,5433830,6116080,5993344,5965228,7172722,6985938,7105889,6130516,6352357,6412843,6528589,7005535,6942307,7130405,6921811,6955147,7830708,7485146,7458425,7280954,7080133
"Middletown, OH",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Milwaukee, WI",1247491,1550924,1227810,1347846,1383004,1407695,1446360,1281177,1277335,1237323,1152785,1382028,1355695,1341432,1421269,1473027,1478769,1494224,1527550,1483681,1546819,1207874,1199366,1397310,1467629,1610432,1580396,1605445
"Minneapolis-St. Paul, MN-WI",2086296,1870918,2003084,2609522,2631829,2623453,2790330,2535305,2476206,2540829,2349218,2962112,2759845,2884403,2959013,3092021,3270224,4044185,4156129,3701682,3354994,2981080,3323259,3822844,3813411,3702319,3716503,3608026
"Mission Viejo-Lake Forest-San Clemente, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Missoula, MT",34846,40771,59238,65228,68463,72017,75651,63174,65750,64007,65100,76827,74769,65329,76960,73604,75303,69289,70639,62377,73720,70904,67656,81389,78390,74868,75813,85730
"Mobile, AL",7699,41070,44636,44059,49269,48200,52104,52532,56291,39457,39073,41615,38152,36443,36166,36077,37478,38448,41888,40470,39806,37204,38177,41416,41840,39168,40258,
"Modesto, CA",69394,90627,124124,115290,114677,117290,111778,89095,82623,72891,74800,93590,98795,91858,97849,134963,156684,163324,171337,166221,158337,139107,150534,175521,172409,175980,167125,162935
"Monessen-California, PA",10871,12829,14209,13818,13417,12958,12889,11327,10532,11182,12569,15517,14116,11206,11770,11373,15006,20225,19753,17149,13245,12507,16055,17650,17348,13472,13517,14210
"Monroe, LA",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Monroe, MI",2978,2435,5690,13403,12981,13460,15501,12564,12345,12293,12538,17483,16729,14913,16494,16885,17275,16553,16250,15904,15365,13367,12246,17743,16319,15630,16962,15616
"Montgomery, AL",24396,25229,27372,24447,32689,26684,29210,24197,25585,24838,23650,27933,28167,29197,29225,27861,28963,25602,27339,29728,27771,25370,24928,30506,27924,28571,30270,28564
"Morgantown, WV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175835,246548,198628,158958,61014,131142,152576,129477,131098,13617,0,0
"Morristown, TN",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mount Vernon, WA",18562,21413,25102,26466,26782,26200,26953,24028,24892,25408,25359,31148,30330,30787,31615,35218,35089,35967,36648,33779,32902,34520,34412,41006,40001,39611,41129,41827
"Muncie, IN",28131,33510,47149,49535,65433,73125,73361,62152,58051,62726,59730,73006,72383,60710,47211,47834,63654,69179,64489,66168,60299,64595,60802,71738,73309,73015,56920,51748
"Murfreesboro, TN",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Muskegon, MI",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Myrtle Beach-Socastee, SC-NC",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Napa, CA",29303,22068,26511,27560,27339,25572,26466,23684,22285,20259,22514,27772,28982,30769,32293,32738,38057,37334,36065,34291,32500,30926,33027,41444,40354,42674,41855,38403
"Nashua, NH-MA",2875,2958,8237,12666,15594,18156,19649,18741,19074,18013,17257,21866,22313,22189,23612,24368,24407,25061,25437,24550,24253,20247,21120,26253,25582,25310,27951,26240
"Nashville-Davidson, TN",294827,324443,370158,368192,377412,387617,404532,365197,351953,335843,283390,384296,417984,413046,440317,472146,521738,529849,552968,537833,519628,478617,508142,607081,600386,638814,618266,617507
"New Bedford, MA",64701,74961,98277,120288,128345,145888,155562,140437,142632,133940,127513,166389,160152,159803,158327,149650,150311,187759,188512,183833,174197,151622,153696,202038,179981,194803,182740,151889
"New Haven, CT",349636,369217,456882,506963,513047,554084,480138,391041,373882,360308,322176,401416,397717,399430,420507,432755,447369,518214,445038,427728,422260,358282,388010,466129,553170,614108,649314,664799
"New Orleans, LA",259823,586748,532421,562436,573369,896766,713916,675145,715196,691672,605265,834385,886421,947697,889882,863526,733848,338518,806943,785173,822769,668261,799800,1043127,1121337,229984,226287,227939
"New York-Newark, NY-NJ-CT",44859977,59360366,89272178,122598946,132133277,138768888,148381509,128626513,129449046,123738187,113013360,148786492,150213027,166924605,190793640,192283931,186872866,200179588,228173450,213222096,208810017,170803630,193341718,232620614,232175817,238293186,245992263,226745561
"Newark, OH",2913,3273,4012,4236,4267,4155,4474,3859,4130,4373,4181,5453,5508,5162,5544,5322,5420,5180,5103,4722,4844,4565,4373,5616,5491,5331,5129,5071
Non-UZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Norman, OK",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"North Port-Port Charlotte, FL",2801,3222,4302,4793,4704,4959,5367,4214,4447,4219,4543,5331,5238,4865,5781,5359,5871,5589,7960,12144,4657,4503,4605,5887,4959,4898,,
"Norwich-New London, CT-RI",33590,35507,51560,61293,62672,65588,57762,49691,50701,48152,43661,57642,56555,53049,55858,58215,61299,61624,64245,62457,63297,51464,57406,68897,79608,80036,101147,102216
"Ocala, FL",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Odessa, TX",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Oklahoma City, OK",103821,126667,171420,224783,192463,170122,183716,169628,171563,161653,118157,178113,175231,183930,206915,203366,205373,196980,216039,206019,218939,179572,166868,225955,234722,231141,236483,245207
"Olympia-Lacey, WA",88895,33219,64495,131205,136395,140959,157609,133614,143425,150052,153594,187363,189023,200990,211654,238577,245154,259049,272789,255109,251871,232161,232442,268163,256593,272684,274967,289130
"Omaha, NE-IA",167094,174161,166493,155584,166644,164381,175519,155531,164879,145671,140850,190078,186791,179782,188386,192703,204881,211590,211394,201458,188178,13846,13792,16092,8636,11211,8120,
"Orlando, FL",725257,967098,1198341,1286538,1332109,1123903,1207987,1106507,1165662,1133680,1106921,1297860,1271147,1305840,1263027,1289843,1340534,1320635,1429027,1376929,1424593,1354824,1355754,1575916,1562232,1569371,1534157,1450556
"Oshkosh, WI",21579,24320,31021,33386,32622,36156,35832,33667,34356,35091,34082,44521,44407,43176,39005,52474,37407,45876,49702,49083,45867,42597,44096,52315,52558,54678,45273,58735
"Owensboro, KY",2680,3343,5059,6578,6852,7583,7830,6270,6395,6586,4432,7387,8925,8758,9280,8859,9519,9458,9264,9110,8967,7914,8014,11153,10225,10277,11031,
"Oxnard, CA",120654,141863,175235,171810,173863,173913,194773,188127,175353,156957,166099,196126,212278,197859,201652,198070,214023,224156,230803,219971,184284,190658,205773,252791,243041,247164,245604,10600
"Palm Bay-Melbourne, FL",73433,93414,107230,120635,124257,135493,138446,123825,130370,126982,123271,143751,139565,133944,135742,136297,139265,134763,144014,137660,147486,131317,131354,154167,148739,148246,154239,
"Palm Coast-Daytona Beach-Port Orange, FL",157656,193874,186493,194288,183439,188358,197504,171733,204281,183225,180030,201667,203897,197522,194114,199086,199648,196299,202300,191157,194984,178651,180276,207227,195452,196934,195476,183829
"Panama City, FL",15738,21288,27885,29658,29254,28041,32058,25871,26197,23188,23299,30219,31615,32144,38301,39366,35620,31027,30004,30100,28752,19927,22725,25238,27734,29721,34011,33252
"Parkersburg, WV-OH",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pensacola, FL-AL",38601,45130,66653,72140,74214,59732,54284,55319,58769,52116,44527,57032,55100,56590,88066,107278,84871,58334,59599,58059,59656,53326,54500,63008,62300,63691,65906,
"Peoria, IL",119359,121606,142050,164638,173995,169161,183933,160892,159225,142666,149880,164552,144106,125065,130654,133145,141092,146576,148014,140095,137887,121930,115901,140778,137030,145979,148393,141094
"Petaluma, CA",6811,7770,10221,10758,10668,10674,12127,10375,10116,9172,8025,10029,10814,11365,11910,12716,16178,,,,,,,,,,,
"Philadelphia, PA-NJ-DE-MD",3567147,5055222,8586004,9262678,8857967,9551922,9956786,8551182,9067638,8515737,7566513,9928791,10203117,10366198,12072953,11470215,11313922,13705926,14591625,13474115,13041134,10686966,12510422,14972526,13645921,14290167,14332869,12682216
"Phoenix-Mesa, AZ",2536939,2580505,2503644,4036245,3965360,4214857,4702331,4369001,4489058,4342934,4109104,4501329,4575458,4471629,4045519,2206357,2422418,2538429,2924327,2933120,2777297,2721711,2770491,3133470,3050020,2959967,2647719,1273403
"Pittsburgh, PA",1461245,1820866,2131154,1943267,1959271,2016449,2105475,1828356,1654466,1603039,1632398,2070417,2131568,2089593,2231149,2340203,2603056,3056382,3079335,2774024,2561032,2387411,2542877,3150005,2967932,2864861,2916952,2744528
"Pittsfield, MA",16120,17624,23247,27571,30337,28550,30836,25415,26458,23734,24269,30833,32016,30101,32024,33637,30794,36848,35340,30492,33896,28616,28242,37374,38172,37033,40897,39561
"Pocatello, ID",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Port Arthur, TX",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Port Huron, MI",9506,10324,20454,46012,49384,53714,59047,47293,47087,46192,44331,57122,51398,48710,57712,56100,59938,59010,66513,61185,56878,54817,54656,73170,67973,68261,76076,73628
"Port St. Lucie, FL",41335,44937,51002,8101,7910,6883,50418,46136,51455,46628,43901,50716,47348,44758,46060,46052,45102,46329,49915,47532,49606,48075,48334,56371,53938,53282,56016,54199
"Porterville, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Portland, ME",51081,66033,85496,165883,203968,189445,150268,112339,100217,95352,87843,114421,128533,170193,227384,290382,292396,259519,227604,178554,157387,58391,61694,68664,71473,99265,139511,206910
"Portland, OR-WA",2959179,3102835,3486114,3852952,4134443,3573362,3967248,3501038,3576650,3424490,3119483,3930657,3980508,4042759,4073219,4480368,4457740,4549122,4864476,4506300,4501477,4309122,4220813,5007425,4905725,5191313,5301986,5266121
"Portsmouth, NH-ME",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pottstown, PA",3170,4507,10779,11245,10971,10037,10858,9244,8772,10420,10285,15127,16575,10171,10408,9874,9687,9419,10695,10229,11659,11315,14360,14054,11766,10605,11924,10647
"Poughkeepsie-Newburgh, NY-NJ",8950,10481,32861,52786,50790,52674,57300,52958,53292,47179,39704,54639,64852,62446,66303,68212,73270,76001,79084,72039,72352,59446,64062,82905,83095,81909,83916,79549
"Providence, RI-MA",425200,518342,641333,732561,726617,762068,729729,652329,598530,599377,565396,761117,746592,763476,799633,775141,690764,936223,943403,892672,856229,674504,736097,971791,919263,968706,948307,840342
"Pueblo, CO",26932,30244,36294,38791,42128,36199,37779,34877,32143,35139,35276,40898,40492,36036,37464,38601,42243,45685,40364,39337,38373,37148,35801,42171,42897,43051,44995,3305
"Racine, WI",44602,45282,56184,63300,63739,59980,45502,38038,41839,40899,38173,47523,44759,40894,41619,42051,43304,45535,46504,43292,43962,38783,43673,48448,44512,47007,46632,43804
"Raleigh, NC",241623,246357,290854,328079,418642,366151,379421,345909,349808,376498,359931,419707,395758,374822,372424,392264,650316,703143,655352,636107,440211,526238,631820,631841,678562,495410,457235,405536
"Rapid City, SD",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Reading, PA",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Redding, CA",25127,31144,36908,32136,29852,30083,33061,26728,29851,26036,26679,31744,31375,26888,24330,29840,29190,29078,29723,28649,29900,27744,29810,33412,31052,30907,30739,27922
"Reno, NV-CA",333970,363721,452014,487087,491485,496582,514241,463580,476386,457292,427151,484878,483616,494588,536464,511764,285216,401954,189322,227832,310400,344162,347548,424774,413028,447969,485233,484494
"Richmond, VA",544321,544938,589525,648542,650278,705978,731826,663531,586818,587267,536510,689218,670505,661520,678528,721373,733638,755534,788800,734867,707935,598490,629760,582602,702517,722837,788482,800337
"Riverside-San Bernardino, CA",551227,653954,646485,646084,626498,617613,668935,574926,550962,508039,524111,601418,637069,623004,640234,648988,739550,766065,811639,762415,697507,699145,726369,894447,907579,932532,844461,781259
"Roanoke, VA",91003,82603,103737,92170,93318,94678,104385,88576,93486,87499,79705,92432,92863,87330,90630,95664,93968,94318,96353,94847,96234,81098,88493,102065,97836,95437,98165,96113
"Rochester, MN",12311,18777,38890,46022,49691,58741,66302,62292,59521,59938,58896,65984,64178,58114,63335,61399,62550,65993,68246,70140,68367,66561,66090,80515,73992,70993,75523,71107
"Rochester, NY",619787,633184,702189,698984,638526,643248,656454,588910,579374,551685,531389,625029,602075,572072,576494,582111,597489,690251,726180,681823,675872,605864,620098,777648,,,,
"Rockford, IL",55256,41591,53939,65380,72868,78512,74887,63558,66721,62149,56773,70316,74799,68800,73365,72784,74906,73742,75671,73106,71059,69225,71479,82705,77131,80724,86820,68997
"Rome, GA",4597,6036,7259,8075,6828,8346,8551,7197,7268,6681,6843,7837,8081,7419,8435,7809,8704,8355,9410,9318,10021,10037,11258,13186,11380,13238,13580,13910
"Sacramento, CA",603812,633966,731141,774036,726500,749757,804032,689885,699764,666186,665015,781781,821720,805207,823190,842251,884859,1003545,1057591,1002127,986910,1000263,1026492,1155790,1068765,1177302,1076884,915860
"Saginaw, MI",2394,2882,4197,7450,6337,16447,24189,23626,6971,7483,7351,22374,21200,21866,21574,25055,28272,39857,42108,41603,40317,39970,42363,53607,51931,55501,42591,
"Salem, OR",32480,60827,95989,119259,140873,133193,170411,136005,152057,140860,132507,181937,181429,177865,190157,172459,165888,173417,182194,170170,165620,175366,175844,211072,199726,212363,214792,200924
"Salisbury, MD-DE",6168,8206,13459,16097,15550,15493,13983,10024,9365,8918,9287,11867,13098,14253,15920,16338,16090,19288,16986,14816,13786,9231,13208,15885,16802,17311,18458,17232
"Salt Lake City-West Valley City, UT",1157961,1206640,1420727,1389611,1547501,1772916,1765089,1478511,1631690,1600749,1606430,1901886,1787523,1762895,1850323,1921425,2190894,2491843,2366263,2345503,2146560,2160808,2582906,2707084,2485689,2502014,2709336,2384076
"San Angelo, TX",13249,15896,18786,19629,20462,21818,19133,16764,16794,17428,12563,19466,17870,16756,17006,17716,17769,18341,18573,17910,18418,15953,15879,19537,20042,18047,20244,18765
"San Antonio, TX",1844678,2106627,1945017,1948547,1983719,1989830,2142688,1972978,1939953,1958725,1506183,2130710,2041618,1989483,2027938,2061554,2161236,2171563,2148180,2040307,2018345,1753029,1823736,2103399,2165499,2176750,2078052,2093205
"San Diego, CA",2550759,2895152,3448188,3584643,3595545,3674517,4051271,3530644,3364758,3138109,3211823,3805946,4032537,4165850,4378842,4647774,4864483,5551319,5325161,5228274,4949374,4765928,5030193,6012444,6019310,6290005,5823648,6248380
"San Francisco-Oakland, CA",5050755,5992212,7187248,8153310,8172519,8386992,9133429,8464273,8195517,7841893,8242738,9851407,10164506,11114468,12436134,12639601,13945209,15423318,16060529,15214079,14490851,13297531,14014319,17338936,17417330,18241177,17843804,15183332
"San Jose, CA",769649,792991,900487,960615,921970,938610,1041152,956493,925038,865764,963997,1207964,1115648,1127123,1053257,1063546,1197495,1365287,1498053,1487545,1403002,1414112,1436496,1704450,1655446,1819311,1742123,1716629
"San Juan, PR",13233,23835,110470,564485,441971,449972,482182,622221,668837,619167,657740,795463,738973,784528,854697,710624,783446,802810,792719,764509,826619,680993,732353,890382,812963,840667,848962,266937
"San Luis Obispo, CA",37337,43451,47694,50914,53466,57563,64224,53208,47961,50147,53844,65387,68676,69668,69608,63948,70600,99257,119925,99541,72722,94134,94182,100154,104174,107668,56902,52651
"San Marcos, TX",4229,2376,3282,3825,42135,111959,87499,70151,24873,37370,69075,89623,101169,26642,16603,14736,153700,375146,333823,243255,76615,36352,250202,225692,234550,55472,43168,
"Santa Barbara, CA",114879,129445,161088,173851,183310,187264,207851,189522,181513,168097,183114,219682,239693,229187,215505,230248,258824,337336,444494,383467,273448,277215,367525,391896,417948,399270,295250,301155
"Santa Clarita, CA",74293,88120,104860,112715,115505,111487,137964,129218,108683,116335,116753,134572,137399,147623,140042,160432,117223,129157,180353,167756,185223,175842,182074,218695,182354,170285,168967,
"Santa Cruz, CA",37988,42522,54018,62426,59614,65978,83836,74071,66526,62714,70278,84817,100546,104843,110465,119519,135143,232941,322080,264608,156791,191955,282808,282519,334653,323834,5746,156778
"Santa Fe, NM",,,,30848,28729,26218,27433,20590,21604,21110,19967,27025,28666,29377,23813,33004,33581,23384,35788,27542,26379,23897,22249,28442,28529,29307,31443,
"Santa Maria, CA",10302,15081,18431,18729,20446,20830,22198,19935,18491,17239,19216,21068,20314,21354,21694,20894,36267,42421,41387,36295,25511,21622,28554,36270,30301,37659,30091,23997
"Santa Rosa, CA",67382,64932,97431,92247,91309,102934,119633,101185,110073,99142,93894,112345,113382,114916,129284,126025,144526,161064,164281,157154,149151,140375,149661,177366,176989,185032,187214,181918
"Sarasota-Bradenton, FL",144654,173123,226329,238240,243783,252063,300147,260018,266490,267539,265096,344166,312235,284605,280570,244245,229227,232114,264373,262071,275831,263645,278538,327385,322431,295803,294669,286588
"Savannah, GA",60248,64227,106169,144241,139790,148193,170987,147322,135544,113582,110210,154832,159991,164940,186056,183564,173049,155728,166623,160633,176766,151194,157762,178498,196858,193133,197382,191555
"Scranton, PA",69780,75328,102621,116018,112574,120339,126646,109640,100120,98364,79104,117088,119142,115170,114447,116878,119367,119450,126966,116498,117014,96836,104393,129810,125373,130908,137218,64599
"Seaside-Monterey, CA",59707,76129,99051,102869,110230,112564,119980,108025,100327,91431,98813,115364,125981,134381,142198,180473,189513,169316,163264,151936,127690,129364,136314,154809,156664,162579,150069,190049
"Seattle, WA",4971023,5429004,6340189,7121980,7272749,7037281,6977024,6017043,6180311,5985835,5588645,7074471,7337344,7791706,8471707,9736373,9515267,9340989,10384061,9529671,8646150,8211766,8460716,10381461,10575168,11142220,11614183,11965312
"Sebastian-Vero Beach South-Florida Ridge, FL",59261,68393,84816,78155,93818,108637,101769,95840,108922,93804,93454,89248,94645,105757,96229,100561,93577,89099,107052,103220,107795,95518,97028,106295,101172,101470,98262,108666
"Sheboygan, WI",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sherman, TX",3024,2634,3142,3121,3134,3282,3538,3321,3987,2948,2124,3373,2992,2891,3022,3147,3317,2937,2909,2662,2422,2417,1815,2912,2669,2965,3198,2953
